pdbid,uniprot
1zg1,Nitrate/nitrite response regulator protein NarL
1zg5,Nitrate/nitrite response regulator protein NarL
1zjm,DNA polymerase beta
1zla,Histone H3.2
1zm5,
1zme,
1zns,Colicin-E7
1zqf,DNA polymerase beta
1zqi,DNA polymerase beta
1zqn,DNA polymerase beta
1zqp,DNA polymerase beta
1zs4,Transcriptional activator II
1ztw,Gag-Pol polyprotein
209d,null
2a07,
2a3v,
2a66,Nuclear receptor subfamily 5 group A member 2
2ac0,Cellular tumor antigen p53
2acj,Double-stranded RNA-specific adenosine deaminase
2ady,Cellular tumor antigen p53
2ahi,Cellular tumor antigen p53
2ajq,DNA-directed DNA polymerase
2aoq,DNA mismatch repair protein MutH
2aor,DNA mismatch repair protein MutH
2as5,
2asj,DNA polymerase IV
2asl,DNA polymerase IV
2ata,Cellular tumor antigen p53
2au0,DNA polymerase IV
2b0d,Type-2 restriction enzyme EcoRV
2b0e,Type-2 restriction enzyme EcoRV
2b9s,
2bam,Type-2 restriction enzyme BamHI
2bcq,DNA polymerase lambda
2bcr,DNA polymerase lambda
2bcs,DNA polymerase lambda
2bdp,DNA polymerase I
2bgw,
2bnw,
2bnz,
2bq3,DNA polymerase IV
2bsq,Toxin FitB
2bzf,Barrier-to-autointegration factor
2c5r,DNA replication protein 16.7
2c6y,Forkhead box protein K2
2c7a,Progesterone receptor
2c9l,
2cax,
2cdm,
2crx,Recombinase cre
2cv5,Histone H3.1
2d55,null
2d5v,Hepatocyte nuclear factor 6
2dgc,General control protein GCN4
2drp,"Protein tramtrack, beta isoform"
2dtu,DNA-directed DNA polymerase
2e1c,Uncharacterized HTH-type transcriptional regulator PH1519
2e42,CCAAT/enhancer-binding protein beta
2e43,CCAAT/enhancer-binding protein beta
2e52,Type-2 restriction enzyme HindIII
2ea0,Endonuclease 8
2efw,Replication termination protein
2er8,Regulatory protein LEU3
2ere,Regulatory protein LEU3
2etw,Meiosis-specific transcription factor NDT80
2euv,Meiosis-specific transcription factor NDT80
2euw,Meiosis-specific transcription factor NDT80
2eux,Meiosis-specific transcription factor NDT80
2euz,Meiosis-specific transcription factor NDT80
2evf,Meiosis-specific transcription factor NDT80
2evg,Meiosis-specific transcription factor NDT80
2evh,Meiosis-specific transcription factor NDT80
2evi,Meiosis-specific transcription factor NDT80
2evj,Meiosis-specific transcription factor NDT80
2ewj,DNA replication terminus site-binding protein
2ex5,DNA endonuclease I-CeuI
2ezv,Type-2 restriction enzyme SfiI
2f5n,Formamidopyrimidine-DNA glycosylase
2f5o,Formamidopyrimidine-DNA glycosylase
2f5p,Formamidopyrimidine-DNA glycosylase
2f5q,Formamidopyrimidine-DNA glycosylase
2f5s,Formamidopyrimidine-DNA glycosylase
2f8n,Histone H3.2
2fio,Late genes activator p4
2fjw,Gag-Pol polyprotein
2fkc,
2fl3,
2flc,
2fld,
2fln,DNA polymerase iota
2flp,DNA polymerase iota
2fvp,Gag-Pol polyprotein
2fvq,Gag-Pol polyprotein
2fvr,Gag-Pol polyprotein
2fvs,Gag-Pol polyprotein
2ge5,Type-2 restriction enzyme EcoRV
2geq,Cellular tumor antigen p53
2gie,Type-2 restriction enzyme HincII
2gig,Type-2 restriction enzyme HincII
2gih,Type-2 restriction enzyme HincII
2gii,Type-2 restriction enzyme HincII
2gij,Type-2 restriction enzyme HincII
2gli,Zinc finger protein GLI1
2gws,DNA polymerase lambda
2h1k,Pancreas/duodenum homeobox protein 1
2h1o,Toxin FitB
2h7f,DNA topoisomerase 1
2h7g,DNA topoisomerase 1
2h7h,Viral jun-transforming protein
2han,Protein ultraspiracle
2hap,
2hdd,Segmentation polarity homeobox protein engrailed
2hmi,Gag-Pol polyprotein
2hof,Recombinase cre
2hoi,Recombinase cre
2ht0,Integration host factor subunit alpha
2i05,DNA replication terminus site-binding protein
2i06,DNA replication terminus site-binding protein
2i13,Zinc finger and SCAN domain-containing protein 2
2i3p,DNA endonuclease I-CreI
2i3q,DNA endonuclease I-CreI
2i5w,N-glycosylase/DNA lyase
2i9t,Transcription factor p65
2ief,Excisionase
2ihn,Ribonuclease H
2iie,P0A6X7:#Integration host factor subunit alpha#P0A6Y1:#Integration host factor subunit beta
2iif,P0A6X7:#Integration host factor subunit alpha#P0A6Y1:#Integration host factor subunit beta
2irf,
2is1,DNA helicase II
2is2,DNA helicase II
2isz,Iron-dependent repressor IdeR
2it0,Iron-dependent repressor IdeR
2itl,
2ivh,Colicin-E7
2nl8,
2nll,Retinoic acid receptor RXR-alpha
2nny,Protein C-ets-1
2nob,N-glycosylase/DNA lyase
2noe,N-glycosylase/DNA lyase
2noh,N-glycosylase/DNA lyase
2noi,N-glycosylase/DNA lyase
2nol,N-glycosylase/DNA lyase
2noz,N-glycosylase/DNA lyase
2nqb,Histone H3
2nqj,Endonuclease 4
2ntc,
2nzd,Histone H3.2
2o49,DNA-binding protein SATB1
2o4a,DNA-binding protein SATB1
2o5i,DNA-directed RNA polymerase subunit alpha
2o61,Q04206:#Transcription factor p65#Q14653:#Interferon regulatory factor 3#Q92985:#Interferon regulatory factor 7
2o6m,Intron-encoded endonuclease I-PpoI
2oaa,
2og0,Excisionase
2opf,Endonuclease 8
2or1,
2oxm,Uracil-DNA glycosylase
2oxv,Type-2 restriction enzyme EcoRI
2oyt,Uracil-DNA glycosylase
2p0j,
2p5g,DNA-directed DNA polymerase
2p5l,
2p5o,DNA-directed DNA polymerase
2p66,DNA polymerase beta
2p6r,
2pi0,Interferon regulatory factor 3
2pi5,T7 RNA polymerase
2pvi,Type-2 restriction enzyme PvuII
2pyo,Histone H3
2pzs,DNA polymerase
2q2k,
2qhb,
2ql2,Transcription factor E2-alpha
2qnf,Recombination endonuclease VII
2qoj,
2qsh,DNA repair protein RAD4
2r1j,
2r2r,Gag-Pol polyprotein
2r2t,Gag-Pol polyprotein
2r5y,Homeotic protein Sex combs reduced
2r5z,Homeotic protein Sex combs reduced
2r9l,Multifunctional non-homologous end joining DNA repair protein LigD
2rba,G/T mismatch-specific thymine DNA glycosylase
2rbf,Bifunctional protein PutA
2rgr,DNA topoisomerase 2
2rve,Type-2 restriction enzyme EcoRV
2ssp,
2uzk,Forkhead box protein O3
2vbj,DNA endonuclease I-CreI
2vbl,DNA endonuclease I-CreI
2vbn,DNA endonuclease I-CreI
2vbo,DNA endonuclease I-CreI
2ve9,DNA translocase FtsK
2voa,
2vs7,Homing endonuclease I-DmoI
2vs8,Homing endonuclease I-DmoI
2vwj,DNA polymerase
2vy1,Protein LEAFY
2vz4,HTH-type transcriptional activator TipA
2w42,Piwi protein AF_1318
2w7n,TrfB transcriptional repressor protein
2w9b,DNA polymerase IV
2wbs,Krueppel-like factor 4
2wbu,Krueppel-like factor 4
2wt7,Proto-oncogene c-Fos
2wty,Transcription factor MafB
2wwy,ATP-dependent DNA helicase Q1
2xc9,DNA polymerase IV
2xe0,
2xgp,DNA polymerase eta
2xgq,DNA polymerase eta
2xhb,DNA polymerase
2xhi,N-glycosylase/DNA lyase
2xo7,DNA polymerase I
2xsd,
2xzf,Formamidopyrimidine-DNA glycosylase
2xzu,Formamidopyrimidine-DNA glycosylase
2ypa,T-cell acute lymphocytic leukemia protein 1
2ypb,T-cell acute lymphocytic leukemia protein 1
2ypf,
2yvh,
2zkd,E3 ubiquitin-protein ligase UHRF1
2zke,E3 ubiquitin-protein ligase UHRF1
2zkf,E3 ubiquitin-protein ligase UHRF1
2zo0,E3 ubiquitin-protein ligase UHRF1
2zo1,E3 ubiquitin-protein ligase UHRF1
316d,null
3a01,
3a46,Probable formamidopyrimidine-DNA glycosylase
3a5t,Transcription factor MafG
3a6n,Histone H3.1t
3afa,Histone H3.1
3av1,Histone H3.2
3av2,Histone H3.3
3ayw,Histone H3.1
3aze,Histone H3.1
3azf,Histone H3.1
3azg,Histone H3.1
3azi,Histone H3.1
3azj,Histone H3.1
3azl,Histone H3.1
3azm,Histone H3.1
3azn,Histone H3.1
3bam,Type-2 restriction enzyme BamHI
3bdp,DNA polymerase I
3bq0,DNA polymerase IV
3bq2,DNA polymerase IV
3brd,
3brg,
3bs1,Accessory gene regulator protein A
3btx,DNA oxidative demethylase ALKBH2
3bty,DNA oxidative demethylase ALKBH2
3btz,DNA oxidative demethylase ALKBH2
3c0w,Intron-encoded endonuclease I-SceI
3c0x,Intron-encoded endonuclease I-SceI
3c1b,Histone H3.2
3c25,
3c28,Recombinase cre
3c29,Recombinase cre
3c2i,Methyl-CpG-binding protein 2
3c2p,Virion DNA-directed RNA polymerase
3c3l,Virion DNA-directed RNA polymerase
3c46,Virion DNA-directed RNA polymerase
3c58,Formamidopyrimidine-DNA glycosylase
3c5f,DNA polymerase lambda
3cbb,Hepatocyte nuclear factor 4-alpha
3clc,
3clz,E3 ubiquitin-protein ligase UHRF1
3cmy,Paired box protein Pax-3
3co6,
3co7,
3coa,
3cro,
3crx,Recombinase cre
3cvs,DNA-3-methyladenine glycosylase 2
3cvt,DNA-3-methyladenine glycosylase 2
3cw7,DNA-3-methyladenine glycosylase 2
3cwa,DNA-3-methyladenine glycosylase 2
3cws,DNA-3-methyladenine glycosylase 2
3cwt,DNA-3-methyladenine glycosylase 2
3cwu,DNA-3-methyladenine glycosylase 2
3d0a,Cellular tumor antigen p53
3d0p,Ribonuclease H
3d1n,
3d4v,DNA-3-methyladenine glycosylase 2
3d70,Multidrug-efflux transporter 1 regulator
3dfx,Trans-acting T-cell-specific transcription factor GATA-3
3dpg,
3dsc,DNA double-strand break repair protein Mre11
3dsd,DNA double-strand break repair protein Mre11
3dvo,
3dw9,
3e2e,T7 RNA polymerase
3e3y,Type-2 restriction enzyme HincII
3e40,Type-2 restriction enzyme HincII
3e41,Type-2 restriction enzyme HincII
3e42,Type-2 restriction enzyme HincII
3e44,Type-2 restriction enzyme HincII
3e45,Type-2 restriction enzyme HincII
3e54,
3ebc,Type-2 restriction enzyme HincII
3ecp,Transposase for transposon Tn5
3eh8,Intron-encoded DNA endonuclease I-AniI
3ei1,DNA damage-binding protein 1
3ei2,DNA damage-binding protein 1
3ere,
3f27,
3f8i,E3 ubiquitin-protein ligase UHRF1
3f8j,E3 ubiquitin-protein ligase UHRF1
3fbd,Colicin-E7
3fc3,
3fd2,
3fdq,Motility gene repressor MogR
3fyl,Glucocorticoid receptor
3g0r,
3g6p,Glucocorticoid receptor
3g6q,Glucocorticoid receptor
3g6r,Glucocorticoid receptor
3g6t,Glucocorticoid receptor
3g6u,Glucocorticoid receptor
3g73,Forkhead box protein M1
3g8u,Glucocorticoid receptor
3g8x,Glucocorticoid receptor
3g97,Glucocorticoid receptor
3g99,Glucocorticoid receptor
3g9i,Glucocorticoid receptor
3g9j,Glucocorticoid receptor
3g9m,Glucocorticoid receptor
3g9o,Glucocorticoid receptor
3g9p,Glucocorticoid receptor
3ga6,
3gfi,
3go8,Formamidopyrimidine-DNA glycosylase
3gox,
3gp1,Formamidopyrimidine-DNA glycosylase
3gpp,Formamidopyrimidine-DNA glycosylase
3gpu,Formamidopyrimidine-DNA glycosylase
3gpx,Formamidopyrimidine-DNA glycosylase
3gpy,Formamidopyrimidine-DNA glycosylase
3gq3,Formamidopyrimidine-DNA glycosylase
3gq4,Formamidopyrimidine-DNA glycosylase
3gq5,Formamidopyrimidine-DNA glycosylase
3gx4,Alkyltransferase-like protein 1
3gxq,
3gz6,
3h0d,Transcriptional regulator CtsR
3h40,DNA polymerase iota
3h8x,DNA oxidative demethylase ALKBH2
3hdd,Segmentation polarity homeobox protein engrailed
3hqf,
3hts,
3hxo,von Willebrand factor
3hxq,von Willebrand factor
3i0w,
3i0x,
3igc,DNA topoisomerase 1
3igm,
3isb,DNA polymerase beta
3isc,DNA polymerase beta
3iv5,DNA-binding protein Fis
3jr4,Formamidopyrimidine-DNA glycosylase
3jr5,Formamidopyrimidine-DNA glycosylase
3jr9,DNA-binding protein Fis
3jrh,DNA-binding protein Fis
3jso,LexA repressor
3jsp,LexA repressor
3jtg,ETS-related transcription factor Elf-3
3jx7,
3jxb,
3jxc,
3jxd,
3jxy,
3jxz,
3jy1,
3k4x,Proliferating cell nuclear antigen
3kde,
3kmd,Cellular tumor antigen p53
3kmp,Mothers against decapentaplegic homolog 1
3knt,N-glycosylase/DNA lyase
3ko2,
3kov,Myocyte-specific enhancer factor 2A
3ktu,N-glycosylase/DNA lyase
3kxt,Chromatin protein Cren7
3kz8,Cellular tumor antigen p53
3l1p,"POU domain, class 5, transcription factor 1"
3l2c,Forkhead box protein O4
3l2r,Pro-Pol polyprotein
3l8b,DNA-directed DNA polymerase
3ldy,
3lel,Histone H3.2
3lja,Histone H3.2
3lsr,
3lwh,Chromatin protein Cren7
3lwi,Chromatin protein Cren7
3lz0,Histone H3.2
3lz1,Histone H3.2
3m4a,
3m7k,
3m9e,Thyroid hormone receptor beta
3mda,DNA polymerase lambda
3mfk,Protein C-ets-1
3mgh,DNA polymerase lambda
3mgp,Histone H3.2
3mgq,Histone H3.2
3mgr,Histone H3.2
3mgv,Recombinase cre
3mip,
3mis,
3mkw,Protein SopB
3mky,Protein SopB
3mkz,Protein SopB
3mln,Transcription factor COE1
3mq6,
3mqy,
3mva,
3mvb,
3mvd,Histone H3.2
3mx4,
3mx9,
3mxa,
3mxb,
3n78,
3n7b,
3nic,
3nm9,High mobility group protein D
3o3g,Ribonuclease HII
3o9x,Antitoxin MqsA
3oa6,Male-specific lethal 3 homolog
3od8,Poly [ADP-ribose] polymerase 1
3oda,Poly [ADP-ribose] polymerase 1
3odc,Poly [ADP-ribose] polymerase 1
3ode,Poly [ADP-ribose] polymerase 1
3odh,
3on0,Relaxosome protein TraM
3ool,Intron-encoded endonuclease I-SceI
3oor,Intron-encoded endonuclease I-SceI
3oqg,
3oqm,Catabolite control protein A
3oqo,Catabolite control protein A
3orc,Regulatory protein cro
3os0,Pro-Pol polyprotein
3os1,Pro-Pol polyprotein
3osf,
3osg,
3oy9,Pro-Pol polyprotein
3oyi,Pro-Pol polyprotein
3oyk,Pro-Pol polyprotein
3p57,Myocyte-specific enhancer factor 2A
3pih,UvrABC system protein A
3pov,Shutoff alkaline exonuclease
3pvp,Chromosomal replication initiator protein DnaA
3pvv,Chromosomal replication initiator protein DnaA
3q05,Cellular tumor antigen p53
3q0f,"Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH5"
3q5f,Transcriptional regulator SlyA
3q8k,Flap endonuclease 1
3q8l,Flap endonuclease 1
3q8m,Flap endonuclease 1
3qe9,
3qeb,
3qfq,
3qi5,DNA-3-methyladenine glycosylase
3qmb,CXXC-type zinc finger protein 1
3qmc,CXXC-type zinc finger protein 1
3qmd,CXXC-type zinc finger protein 1
